,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Rajasthan Royals,2011-04-12,0.0,,0,4.0,25,6.25,-,-,0
1,2.0,Dr DY Patil Sports Academy,Pune Warriors,2011-04-17,2.0,32.0,2,4.0,39,9.75,19.5,12,0
2,3.0,Arun Jaitley Stadium,Deccan Chargers,2011-04-19,3.0,29.33,1,3.0,24,8.0,24,18,0
3,4.0,Wankhede Stadium,Mumbai Indians,2011-05-07,4.0,29.0,1,4.0,28,7.0,28,24,0
4,5.0,MA Chidambaram Stadium,Chennai Super Kings,2011-05-12,4.0,35.5,0,4.0,26,6.5,-,-,0
5,6.0,Eden Gardens,Kolkata Knight Riders,2012-04-05,4.0,39.5,0,2.0,16,8.0,-,-,0
6,7.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2012-04-07,5.0,36.8,1,4.0,26,6.5,26,24,0
7,8.0,Arun Jaitley Stadium,Chennai Super Kings,2012-04-10,5.0,38.6,0,3.0,9,3.0,-,-,0
8,9.0,Wankhede Stadium,Mumbai Indians,2012-04-16,7.0,29.86,2,4.0,16,4.0,8,12,0
9,10.0,Arun Jaitley Stadium,Deccan Chargers,2012-04-19,10.0,22.5,3,4.0,16,4.0,5.3,8,0
10,11.0,Arun Jaitley Stadium,Pune Warriors,2012-04-21,10.0,26.9,0,4.0,44,11.0,-,-,0
11,12.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-04-24,10.0,29.1,0,4.0,22,5.5,-,-,0
12,13.0,Arun Jaitley Stadium,Mumbai Indians,2012-04-27,12.0,27.17,2,4.0,35,8.75,17.5,12,0
13,14.0,Arun Jaitley Stadium,Rajasthan Royals,2012-04-29,12.0,29.67,0,4.0,30,7.5,-,-,0
14,15.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-05-01,12.0,32.42,0,4.0,33,8.25,-,-,0
15,16.0,Arun Jaitley Stadium,Kolkata Knight Riders,2012-05-07,12.0,35.08,0,4.0,32,8.0,-,-,0
16,17.0,Rajiv Gandhi International Stadium,Deccan Chargers,2012-05-10,12.0,38.33,0,4.0,39,9.75,-,-,0
17,18.0,Eden Gardens,Kolkata Knight Riders,2013-04-03,14.0,34.43,2,4.0,22,5.5,11,12,0
18,19.0,Arun Jaitley Stadium,Rajasthan Royals,2013-04-06,15.0,33.6,1,4.0,22,5.5,22,24,0
19,20.0,Wankhede Stadium,Mumbai Indians,2013-04-09,15.0,35.33,0,3.0,26,8.67,-,-,0
20,21.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2013-04-12,17.0,32.18,2,4.0,17,4.25,8.5,12,0
21,22.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-04-16,18.0,31.83,1,4.0,26,6.5,26,24,0
22,23.0,Arun Jaitley Stadium,Chennai Super Kings,2013-04-18,18.0,33.06,0,3.0,22,7.33,-,-,0
23,24.0,Arun Jaitley Stadium,Mumbai Indians,2013-04-21,18.0,34.17,0,4.0,20,5.0,-,-,0
24,25.0,Shaheed Veer Narayan Sing International Stadium,Pune Warriors,2013-04-28,18.0,35.83,0,4.0,30,7.5,-,-,0
25,26.0,Shaheed Veer Narayan Sing International Stadium,Kolkata Knight Riders,2013-05-01,19.0,35.16,1,4.0,23,5.75,23,24,0
26,27.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-04,19.0,35.53,0,2.0,7,3.5,-,-,0
27,28.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2013-05-10,20.0,34.9,1,4.0,23,5.75,23,24,0
28,29.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-05-19,21.0,34.24,1,4.0,21,5.25,21,24,0
29,30.0,Sharjah Cricket Stadium,Royal Challengers Bangalore,2014-04-17,21.0,35.76,0,2.4,32,12.0,-,-,0
30,31.0,Dubai International Cricket Stadium,Kolkata Knight Riders,2014-04-19,22.0,35.45,1,3.0,29,9.67,29,18,0
31,32.0,Sheikh Zayed Stadium,Chennai Super Kings,2014-04-21,23.0,35.17,1,3.0,29,9.67,29,18,0
32,33.0,Dubai International Cricket Stadium,Sunrisers Hyderabad,2014-04-25,24.0,34.71,1,4.0,24,6.0,24,24,0
33,34.0,Sharjah Cricket Stadium,Mumbai Indians,2014-04-27,25.0,34.08,1,4.0,19,4.75,19,24,0
34,35.0,Arun Jaitley Stadium,Rajasthan Royals,2014-05-03,26.0,33.92,1,4.0,30,7.5,30,24,0
35,36.0,Arun Jaitley Stadium,Chennai Super Kings,2014-05-05,26.0,34.96,0,4.0,27,6.75,-,-,0
36,37.0,Arun Jaitley Stadium,Kolkata Knight Riders,2014-05-07,26.0,36.27,0,3.2,34,10.2,-,-,0
37,38.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-15,28.0,34.93,2,4.0,35,8.75,17.5,12,0
38,39.0,Wankhede Stadium,Mumbai Indians,2014-05-23,29.0,34.69,1,4.0,28,7.0,28,24,0
39,40.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2014-05-25,29.0,35.52,0,2.0,24,12.0,-,-,0
40,41.0,Arun Jaitley Stadium,Mumbai Indians,2015-04-23,29.0,36.38,0,3.0,25,8.33,-,-,0
41,43.0,Shaheed Veer Narayan Sing International Stadium,Chennai Super Kings,2015-05-12,29.0,37.0,0,4.0,18,4.5,-,-,0
42,45.0,Arun Jaitley Stadium,Gujarat Lions,2016-04-27,29.0,38.1,0,4.0,32,8.0,-,-,0
43,46.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-05-03,31.0,36.39,2,3.0,23,7.67,11.5,9,0
44,47.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2016-05-07,31.0,37.35,0,4.0,30,7.5,-,-,0
45,48.0,Dr YS Rajasekhara Reddy Cricket Stadium,Mumbai Indians,2016-05-15,31.0,38.71,0,4.0,42,10.5,-,-,0
46,49.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-08,32.0,37.91,1,4.0,13,3.25,13,24,0
47,50.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-11,33.0,37.45,1,4.0,23,5.75,23,24,0
48,51.0,Arun Jaitley Stadium,Kings XI Punjab,2017-04-15,35.0,35.69,2,2.0,13,6.5,6.5,6,0
49,52.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2017-04-30,35.0,35.94,0,0.5,9,10.8,-,-,0
50,53.0,Arun Jaitley Stadium,Gujarat Lions,2017-05-04,35.0,36.74,0,2.0,28,14.0,-,-,0
51,54.0,Arun Jaitley Stadium,Rising Pune Supergiant,2017-05-12,36.0,36.31,1,3.0,21,7.0,21,18,0
52,55.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2017-05-14,37.0,35.65,1,2.0,12,6.0,12,12,0
53,56.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-11,39.0,34.69,2,4.0,34,8.5,17,12,0
54,57.0,Wankhede Stadium,Mumbai Indians,2018-04-14,39.0,35.26,0,2.0,22,11.0,-,-,0
55,58.0,Eden Gardens,Kolkata Knight Riders,2018-04-16,40.0,35.45,1,4.0,43,10.75,43,24,0
56,59.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-21,40.0,36.13,0,2.0,27,13.5,-,-,0
57,60.0,Arun Jaitley Stadium,Rajasthan Royals,2018-05-02,40.0,36.45,0,1.0,13,13.0,-,-,0
58,61.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2018-05-10,40.0,37.0,0,2.0,22,11.0,-,-,0
59,62.0,Rajiv Gandhi International Stadium,Rajasthan Royals,2019-03-29,41.0,36.98,1,3.0,36,12.0,36,18,0
60,63.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2019-04-17,42.0,36.67,1,2.0,24,12.0,24,12,0
61,64.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2019-04-21,42.0,37.38,0,4.0,30,7.5,-,-,0
